Licensee Name,DBA,License #,Street Address,City,Zip,Operation,lat,lng
THE MEDICINE MAN LLC,,403-00604,310 East Main Street,Cortez,81321,Medical,37.348685,-108.580793
DURANGO ORGANICS LLP,DURANGO ORGANICS,403-01668,12929 Highway 550 South,Durango,81303,Medical,37.178093,-107.857869
DURANGO ORGANICS LLP,DURANGO ORGANICS,403R-00332,12929 US HWY 550 SOUTH,Durango,81303,Retail,37.177861,-107.857869
DURANGO ORGANICS LLP,,403-00786,12929 South US Highway 550,Durango,81301,Medical,37.178093,-107.857869
MHSDGO LLC,MHS,403-00792,"789 Tech Center Drive, Unit E",Durango,81301,Medical,37.275379,-107.894193
MJ DURANGO LLC,,403R-00592,28753 East US Highway 160,Durango,81301,Retail,37.228096,-107.824888
THE ACCEPTUS GROUP LLC,COLORADO GROW COMPANY,403R-00378,83 Davidson Creek Rd,Durango,81301,Retail,37.230175,-107.827463
WILD WEST WEED LLC,WILD WEST WEED,403R-00585,1765 D-K Drive,Durango,81301,Retail,37.244357,-107.741949
5110 RACE LLC,THE SANCTUARY WELLNESS CENTER,403-01342,890 7th Street,Penrose,81240,Medical,38.432241,-105.010412
ALTERNATIVE MEDICAL REMEDIES,,403-00134,1450 L Street,Penrose,81240,Medical,38.405564,-104.995917
C^3 COLORADO SPRINGS LLC,PURE INTENTIONS WELLNESS CENTER,403-01286,"685 Highway 115, Unit B",Penrose,81240,Medical,38.444532,-105.017287
MILE HIGH GREEN CROSS LLC,,403-01285,"685 Highway 115, Unit A",Penrose,81240,Medical,38.444532,-105.017287
PURE MEDICAL LLC,,403-01338,440 8th Street,Penrose,81240,Medical,38.428523,-105.031338
THRESSOR LLC,AMERICAN NECTAR,403-01608,708 Fremont Street,Penrose,81240,Medical,38.423285,-105.023891
TODAYS HEALTH CARE II LLC,TODAYS HEALTH CARE II LLC,403-01393,934 C Street,Penrose,81240,Medical,38.423844,-105.037877
TODAYS HEALTH CARE LLC,TODAYS HEALTH CARE LLC,403-01351,1015 Highway 115,Penrose,81240,Medical,38.444532,-105.017287
CANNATONIC LLC,,403R-00442,400 Industrial Park Road,Gunnison,81230,Retail,38.537036,-106.857238
CCCENTER7 LLC,,403R-00369,103 Basin Park Drive,Gunnison,81230,Retail,38.498592,-107.02781
SOUTHERN CHARM ORGANICS LLC,,403R-00394,435 Industrial Park Road,Gunnison,81230,Retail,38.536817,-106.857238
HIGH MOUNTAIN MEDZ LLC,,403-01391,3000 County Road 103,Florence,81226,Medical,38.273573,-105.121461
MAGGIES FARM LLC,,403-01153,4211 County Road 84,Florence,81226,Medical,38.319231,-105.190047
VIRTUAL MARKETING LLC,MAGGIE'S FARM,403-00655,4211 Fremont County Road 84,Florence,81226,Medical,38.356776,-105.132949
CRESTED BUTTE CONCENTRATES LLC,CRESTED BUTTE CONCENTRATES LLC,403R-00339,398 Riverland Dr,Crested Butte,81224,Retail,38.844334,-106.945392
PURE INDUSTRIES LLC,,403R-00410,"398 Riverland Drive, Suites 1-B, 1-C, 2-C",Crested Butte,81224,Retail,38.844334,-106.945392
THE ORGANIC SEED LLC,,403-01452,1785 Kit Carson Trail,Cotopaxi,81223,Medical,38.340956,-105.462233
HAMME-BASTI LLC,NATURAL MYSTIC WELLNESS CENTER,403-01255,204 East Main Street,Buena Vista,81211,Medical,38.842125,-106.131511
JMC ENTERPRISES INC,FREMONT COUNTY CANNABIS,403-00230,"19256 County Road 343, Unit D",Buena Vista,81211,Medical,39.390897,-99.066067
3-D DENVERS DISCREET DISPENSARY LLC,3D CANNABIS CENTER,403-01482,7706 County Road 150,Salida,81201,Medical,38.547999,-106.019341
BERLIN INTERNATIONAL LLC,CANNIKA,403-01466,7800 County Road 152,Salida,81201,Medical,38.552994,-106.021176
BERLIN INTERNATIONAL LLC,,403R-00301,"7800 Hannah Lane, County Road 152",Salida,81201,Retail,38.549874,-106.075804
BIOENERGETIC HEALING CENTER LLC,,403R-00163,7851 County Road 150,Salida,81201,Retail,38.549161,-106.019664
ECOMED LLC,NATURES MEDICINE SALIDA,403R-00320,"7729 CR 150, Suites A-C",Salida,81201,Retail,38.549874,-106.075804
GARCIA & MAESTAS INC,LA CASA CANNABIS II,403-01308,23320 County Road K-5,San Luis,81152,Medical,37.075427,-105.755588
GM INC,GREEN WORLD,403R-00330,23320 County Road K5,San Luis,81152,Retail,37.068216,-105.672322
HIERBA BUENA LLC,HIERBA BUENA,403R-00401,"20663 Unit B, County Road P6",San Luis,81152,Retail,37.009942,-105.683779
LA CASA CANNABIS INC,,403-00172,23320 County Road K.5,San Luis,81152,Medical,37.075427,-105.755588
"MOUNTAIN HIGH 14,047 LLC",,403R-00546,22057 County Road K.5,San Pablo,81152,Retail,37.144456,-105.39306
VISTABUDS LLC,,403R-00564,10788 County Road 21,San Pablo,81152,Retail,37.144456,-105.39306
ELEV8ED EXCELLENCE INC,,403R-00590,14890 CR .2,San Acacio,81151,Retail,37.208316,-105.947662
KIND BARON LLC,KIND BARON LLC,403R-00574,14231 County Road 55,Saguache,81149,Retail,37.946623,-105.99865
DELANY & ASSOCIATES LLC,GOOD EARTH MEDS,403R-00328,"600 Cloman Boulevard, #5, 6,7, 8",Pagosa Springs,81147,Retail,37.285213,-107.066653
DELANY & ASSOCIATES LLC,GOOD EARTH MEDS,403-00726,"600 Cloman Boulevard, Units 5, 6,7, 8",Pagosa Springs,81147,Medical,37.285213,-107.066653
J and J ENTERPRISES INC,PAGOSA ORGANIC THERAPEUTICS,403-01356,"298 Bastille Drive, Units A7 & 9",Pagosa Springs,81147,Medical,37.252909,-107.084464
J and J ENTERPRISES INC,PAGOSA ORGANIC THERAPEUTICS,403R-00346,354 Bastille Drive,Pagosa Springs,81147,Retail,37.252445,-107.084923
SACRED VALLEY MEDICINE LLC,,403R-00440,61185 County Road T,Moffat,81143,Retail,37.992537,-105.880673
SOUTHERN COLORADO THERAPEUTICS INC,HIGHLAND HEALTH,403R-00420,63003 County Road CC,Moffat,81143,Retail,38.128834,-105.837651
FROST HARVEST CO INC,,403-00705,"County Road 17, Highway 160",Fort Garland,81133,Medical,37.381623,-105.370065
1-11 LLC,1:11,403R-00537,54414 County Road F,Center,81125,Retail,37.821105,-106.012468
BUD HUT INC,BUD HUT INC,403R-00553,"973 U.S. Highway 85 87, Suite 100",Walsenburg,81089,Retail,37.654968,-104.803148
WAHATOYA FARMS LLC,WAHATOYA FARMS LLC,403R-00536,25462 West US Highway 160,Walsenburg,81089,Retail,37.616758,-104.79719
CANNA COMPANY,CANNACO,403R-00419,3019 Toupal Drive,Trinidad,81082,Retail,37.137485,-104.521278
FARAGOSI FARMS INC,FARAGOSI FARMS,403R-00486,612 Hainlen Street,Trinidad,81082,Retail,37.177426,-104.496529
THE GROW FOUNDRY INC,CODA SIGNATURE,403R-00514,1105 Constitution Drive,Trinidad,81082,Retail,37.220997,-104.489498
ALTERNATIVE HOLISTIC HEALING LLC,ROCKY MOUNTAIN ORGANICS LLC,403R-00374,6480 Pickney Rd,Rye,81069,Retail,37.923332,-104.789296
CGE LLC,CANN GROW,403R-00545,"6040 Big Sky, Building A",Rye,81069,Retail,37.913513,-104.869492
POPS FARM INC,POP'S FARM INC,403R-00584,3943 County Road 650,Rye,81069,Retail,37.840021,-104.870469
SCG SERVICES LLC,SOUTHERN COLORADO GROWERS,403R-00573,853 Greenhorn Mountain Circle,Rye,81069,Retail,38.044067,-104.974082
VIRIDIS POLLEX LLC,,403R-00601,900 Conductor Court,Rye,81069,Retail,37.913513,-104.869492
A2ZINC LLC,ZGREENS CO,403R-00503,2177 57th Lane,Boone,81025,Retail,38.206598,-104.266976
BOONE FARMS LLC,,403R-00467,60710 Highway 96E,Boone,81025,Retail,38.32609,-104.219458
CURE PUEBLO LLC,,403R-00436,63490 East Highway 96,Boone,81025,Retail,38.32609,-104.219458
LANTZ INDUSTRIES LLC,,403R-00473,"50100 Route 96, Suite A",Boone,81025,Retail,38.32609,-104.219458
MEDICAL CANNABIS COLORADO LLC,CURE COLORADO,403-01587,63510 East Highway 96,Boone,81025,Medical,38.32609,-104.219458
PUEBLO FARMS LLC,PUEBLO FARMS,403R-00425,63496 East Highway 96,Boone,81025,Retail,38.32609,-104.219458
PUEBLO FARMS LLC,,403R-00461,68200 East Highway 96,Boone,81025,Retail,38.32609,-104.219458
STEALTHFARMS LLC,,403R-00572,58764 East Highway 50,Boone,81025,Retail,38.32609,-104.219458
BEULAH VALLEY FARMS LLC,,403R-00476,7791 Highway 78 West,Beulah,81023,Retail,38.072475,-104.938028
"WHITE MEADOWS CULTIVATION, LLC",,403R-00563,7013 Burnt Mill Road,Beulah,81023,Retail,38.0366,-104.822602
SUNCANNA LLC,,403R-00549,39327 Harbour Road,Avondale,81022,Retail,38.125638,-104.428284
COMPLIANCE INITIATIVES LLC,STRAWBERRY FIELDS ALTERNATIVE HEALTH AND WELLNESS,403-01507,9000 South Interstate 25,Colorado City,81019,Medical,38.010701,-104.747607
ALTERNATIVE HOLISTIC HEALING LLC,ROCKY MTN ORGANICS,403R-00421,7445 Rex Road,Pueblo,81007,Retail,38.255548,-104.649822
AMERIJUANA INC,,403R-00517,72 North Lazer Drive,Pueblo West,81007,Retail,38.331073,-104.71095
CCOMAG,H.O.G. PHARM,403R-00402,24C North Research Drive,Pueblo,81007,Retail,38.334557,-104.734995
COLORADO CANNABIS ASSOCIATES LLC,NATURES REMEDY WELLNESS,403-00476,748 East Industrial Blvd.,Pueblo West,81007,Medical,38.332257,-104.709663
COLORADO CANNABIS ASSOCIATES LLC,NATURES REMEDY WELLNESS,403R-00206,748 East Industrial Boulevard,Pueblo West,81007,Retail,38.332257,-104.709663
COMPASSIONATE CARE COOP.,COMPASSIONATE CARE COOP LLC,403-01492,38 N. Silicon Drive,Pueblo West,81007,Medical,38.329952,-104.716292
FIPG LLC,,403-01632,"67 North Silicon Drive, Suites 130,140, 150",Pueblo West,81007,Medical,38.331579,-104.715578
GG-MMD INC,GG-MMD INC,403-01454,920 East Spaulding Avenue,Pueblo West,81007,Medical,38.321113,-104.705112
HERITAGE ORGANICS LLC,,403-01640,78 North Precision Drive,Pueblo West,81007,Medical,38.335103,-104.727003
MAGGIES FARM LLC,MAGGIE'S FARM,403-01421,"74 North Component Drive, Suite 170",Pueblo West,81007,Medical,38.338921,-104.741274
MODERN MEDICINE LLC,ALTITUDE ORGANICS,403R-00540,69 North Mission Drive,Pueblo,81007,Retail,38.329996,-104.708486
NATURES GIFT SHOP LLC,,403R-00336,148 E Assembly Dr,Pueblo West,81007,Retail,38.340058,-104.73484
ORGANIC SOLUTIONS INC,,403-01096,152 East Industrial Boulevard,Pueblo West,81007,Medical,38.338267,-104.735954
PALO VERDE LLC,,403R-00360,78 N Silicon Drive,Pueblo West,81007,Retail,38.331899,-104.715438
PI ORGANICS INC,,403R-00531,"77 North Laser Drive, Suites I-1&2",Pueblo West,81007,Retail,38.33104,-104.710964
PUEBLO WEST ORGANICS LLC,PUEBLO WEST ORGANICS,403R-00162,56 N Precision Drive,Pueblo West,81007,Retail,38.334134,-104.727444
PUEBLO WEST ORGANICS LLC,,403-01298,56 North Precision Drive,Pueblo West,81007,Medical,38.334134,-104.727444
PUEBLO WEST ORGANICS LLC,PUEBLO WEST ORGANICS,403R-00227,"609 East Enterprise Drive, Suite 120, 130",Pueblo West,81007,Retail,38.32876,-104.717605
PUEBLO WEST ORGANICS LLC,,403-01420,"609 East Enterprise Drive, Units 120, 130 & 140",Pueblo,81007,Medical,38.32876,-104.717605
QUANTUM 137 LLC,QUANTUM 137 LLC,403R-00560,24 North Fabrication,Pueblo,81007,Retail,38.333951,-104.732347
SKY UNLIMITED LLC,SKY UNLIMITED LLC,403R-00518,"59 North Fabrication Drive, Suite A",Pueblo West,81007,Retail,38.335256,-104.731763
STEEL CITY DEVELOPMENT LLC,PLATINUM ORGANICS LLC,403R-00552,77 North Magento Drive,Pueblo West,81007,Retail,38.341733,-104.749697
THE ORGANIC SEED LLC,CANNASSEUR,403R-00283,59 North Laser Drive,Pueblo,81007,Retail,38.330066,-104.711392
THREE RIVERS DEVELOPMENT LLC,THREE RIVERS ORGANICS,403-01585,83 North Magento Drive,Pueblo,81007,Medical,38.341733,-104.749697
TNT FARMS LLC,TNT FARMS LLC,403R-00547,96 North Precision Drive,Pueblo West,81007,Retail,38.336466,-104.726382
TODAYS HEALTH CARE LLC,,403-01442,286 South Purcell Boulevard,Pueblo West,81007,Medical,38.319183,-104.705281
VIRTUAL MARKETING LLC,MAGGIE'S FARM,403-01562,"74 North Component Drive, #160",Pueblo,81007,Medical,38.338921,-104.741274
YETI FARMS LLC,"YETI FARMS, LLC",403-01474,1650 Siloam Road,Pueblo,81007,Medical,38.226415,-104.976344
DAY DREAMZ LLC,DAY DREAMZ,403-01438,"1805 Santa Fe Drive, Suites F & G",Pueblo,81006,Medical,38.245622,-104.577447
HEAVYBAG SUPPLY COMPANY LLC,,403R-00352,521 SANTA FE DRIVE,Pueblo,81006,Retail,38.249503,-104.60018
HERIKAT INC,ROSE BUD PRODUCTIONS,403-01435,2298 East State Highway 96,Pueblo,81006,Medical,38.271121,-104.549656
LOS SUENOS LLC,,403R-00428,231 Nyberg Road,Pueblo,81006,Retail,38.249134,-104.398683
MESA ORGANICS LTD,MESA ORGANICS/PURPLEBEES,403-01670,30899 Highway 50 East,Pueblo,81006,Medical,38.240659,-104.508603
PUEBLO AGRICULTURE LLC,,403R-00524,386 South 29th Lane,Pueblo,81006,Retail,38.264053,-104.515323
WESTSIDE WELLNESS CENTER LLC,MAGGIE'S FARM,403-01557,"1400 Santa Fe Drive, Suite A & B",Pueblo,81006,Medical,38.245684,-104.583141
A BETTER CHOICE LLC,O. G. HYDRO,403R-00496,1115 Siloam Road,Pueblo,81005,Retail,38.247953,-104.975723
CGRO LLC,APEX ORGANICS,403R-00606,1930 Pope Valley Ranch Road,Pueblo,81005,Retail,38.221559,-104.745784
COLORADO LEAF LLC,COLORADO LEAF LLC,403R-00508,8217 Red Creek Springs Road,Pueblo,81005,Retail,38.189881,-104.940709
DKC LLC,DENVER KUSH CLUB,403R-00285,5 Rex Road,Pueblo,81005,Retail,38.255548,-104.649822
DKC LLC,DENVER KUSH CLUB,403-01401,7415 Rex Road,Pueblo,81005,Medical,38.255548,-104.649822
HEALING HOUSE LAKEWOOD LLC,HEALING HOUSE,403R-00357,7420 Rex Road,Pueblo,81005,Retail,38.255548,-104.649822
HEALING HOUSE LAKEWOOD LLC,HEALING HOUSE,403-01446,"Lakeview Prairie, Lot 4",Pueblo,81005,Medical,38.23494,-104.644776
HIGH ALTITUDE FARMS LLC,,403R-00504,1035 Newton Road,Pueblo,81005,Retail,38.249673,-104.886721
KINGPIN FARMS LLC,,403R-00539,6427 Galbreth Road,Pueblo,81005,Retail,38.175891,-104.773281
MISFITS PHARMS LLC,,403R-00587,2405 Little Burnt Mill Road,Pueblo,81005,Retail,38.196628,-104.662365
PREMIUM CUT INC,PREMIUM CUT INC,403R-00417,5810 W State Highway 78,Pueblo,81005,Retail,38.201428,-104.718993
STEEL CITY SUPPLY LLC,,403R-00529,7571 Vanessa Drive,Pueblo,81005,Retail,38.246931,-104.878916
SUNSTRAIN LLC,,403R-00605,8380 West Highway 96,Pueblo,81005,Retail,38.221559,-104.745784
4th DIMENSION INC,,403R-00534,3144 Verde Road,Pueblo,81004,Retail,38.079173,-104.652485
DENVER BUD COMPANY LLC,DENVER BUD COMPANY,403R-00324,3217 Lake Ave,Pueblo,81004,Retail,38.21821,-104.625092
EARTH SOLUTIONS INC,CANNA CABINET INC,403-01565,"2630 W. Pueblo Blvd., Suite C-D&E",Pueblo,81004,Medical,38.218658,-104.640748
EXTREME GREEN GENETICS LLC,,403R-00375,3150 Verde Road,Pueblo,81004,Retail,38.079141,-104.6525
FREDRICK JENKINS LLC,MT GROWERS,403R-00583,705 Elm Street,Pueblo,81004,Retail,38.25383,-104.612781
NATIONAL GREEN SOURCE LLC,,403R-00447,1900 South Freeway,Pueblo,81004,Retail,38.105804,-104.704821
SEVEN-ONE-NINE LLC,,403-01598,2729 Farabaugh Lane,Pueblo,81004,Medical,38.215054,-104.643283
GARDEN GREENS LLC,,403-01628,4116 Nature Center Road,Pueblo,81003,Medical,38.275592,-104.665518
GROWHOUSE PUEBLO LLC,,403R-00511,1325 Cheyenne Avenue,Pueblo,81003,Retail,38.279089,-104.636501
JRM HOLDINGS INC,JRM HOLDINGS INC,403R-00519,4245 West 13th Street,Pueblo,81003,Retail,38.278903,-104.668165
THE HERBAL GARDEN LLC,,403R-00370,302 Lamkin Street,Pueblo,81003,Retail,38.264641,-104.616959
TWISTED ORGANICS LLC,TWISTED ORGANICS LLC,403R-00351,311 South Main Street,Pueblo,81003,Retail,38.262286,-104.614342
GREEN MOUNTAIN DISTRIBUTION LLC,,403R-00422,302 Meade Avenue,Pueblo,81001,Retail,38.267218,-104.554093
HERIKAT INC,ROSE BUD PRODUCTIONS,403R-00261,2298 East State Hwy 96,Pueblo,81001,Retail,38.271121,-104.549656
MAGGIES FARM LLC,,403R-00290,3900 North 27th Lane,Pueblo,81001,Retail,38.270715,-104.530535
MARISOL THERAPEUTICS LLC,,403R-00079,2204 Hickory Lane,Pueblo,81001,Retail,38.263791,-104.570171
MARISOL THERAPEUTICS LLC,,403-00254,2204 Hickory Street,Pueblo,81001,Medical,38.263811,-104.569223
PURE INDUSTRIES LLC,,403R-00409,1601 N. Erie Avenue,Pueblo,81001,Retail,38.282157,-104.59989
ROCKY ROAD REMEDIES LLC,ROCKY ROAD PUEBLO,403R-00300,2656 McCormick Avenue,Pueblo,81001,Retail,38.269535,-104.559727
HOBBY FARMS LLC,A CUT ABOVE,403-00687,3410 Astrozon Court,Colorado Springs,80937,Medical,38.789807,-104.766294
BGOOD VENTURES LLC,ELEVATIONS,403-01660,8270 Razorback Road,Colorado Springs,80920,Medical,38.951886,-104.800218
AJC INDUSTRIES LLC,FRONT RANGE ALTERNATIVE MEDICINES,403-00585,5905 North Nevada Avenue,Colorado Springs,80918,Medical,38.917199,-104.814809
BRIARGATE WELLNESS CENTER LLC,,403-00176,"890 Dublin Boulevard, Suite C",Colorado Springs,80918,Medical,38.925779,-104.810684
THIRD DAY APOTHECARY MC LLC,,403-00210,"4865 North Academy Blvd., Unit B",Colorado Springs,80918,Medical,38.902153,-104.769531
ROCKY ROAD REMEDIES LLC,ROCKY ROAD NORTH,403-01303,3995 North Academy Boulevard,Colorado Springs,80917,Medical,38.890137,-104.75687
TRICHOME HEALTH CONSULTANTS,TRICHOME HEALTH CONSULTANTS,403-00349,"3425 Van Teylingen Drive, Units D&E",Colorado Springs,80917,Medical,38.88111,-104.76094
CYS INC,,403-01345,1675 Jetwing Drive,Colorado Springs,80916,Medical,38.809049,-104.740949
CANNA MEDS WELLNESS CENTER LLC,,403-00407,4349 East Platte Avenue,Colorado Springs,80915,Medical,38.839354,-104.747112
CANNABICARE INC,THE CARE,403-00157,1466 Woolsey Heights,Colorado Springs,80915,Medical,38.850223,-104.685781
CC GROUP,CANNA CAREGIVERS,403-00370,2153-2155 Victor Place,Colorado Springs,80915,Medical,38.854194,-104.716756
CC GROUP,CANNA CREATIONS,403-01329,"2306 North Powers Boulevard, #100",Colorado Springs,80915,Medical,38.868926,-104.720248
DR RELEAF INC,,403-01571,815 Wooten Road,Colorado Springs,80915,Medical,38.84572,-104.738734
HAPPY BUDDHA WELLNESS CENTER LLC,,403-01164,1419 Woolsey Heights,Colorado Springs,80915,Medical,38.848485,-104.687254
HOBBY FARMS LLC,A CUT ABOVE,403-01596,817 Wooten Road,Colorado Springs,80915,Medical,38.845728,-104.738734
HOSHTA LLC,NEW HORIZONS,403-01183,1460 Woolsey Heights,Colorado Springs,80915,Medical,38.849992,-104.685971
HUMBOLDT CARE AND WELLNESS CENTER LLC,NEW AGE MEDICAL,403-00882,1453 Woolsey Heights,Colorado Springs,80915,Medical,38.849845,-104.686092
NATURES WAY WELLNESS CENTER INC,HIGH COUNTRY HEALING,403-00690,"2815 North El Paso Street Units A, C & D",Colorado Springs,80915,Medical,38.871081,-104.813229
TODAYS HEALTH CARE II LLC,,403-00433,6345 East Platte Avenue,Colorado Springs,80915,Medical,38.838792,-104.711644
BIG MEDICINE LLC,BIG MEDICINE CANNABISSARY,403-01617,"2565 Weston Road, Unit 136",Colorado Springs,80910,Medical,38.79505,-104.778624
BND LLC,A CUT ABOVE,403-01616,3758 #B Astrozon Boulevard,Colorado Springs,80910,Medical,38.81269,-104.773435
C^3 COLORADO SPRINGS LLC,PURE INTENTIONS WELLNESS CENTER,403-01029,"2517 Airport Road, Unit B,",Colorado Springs,80910,Medical,38.825278,-104.783025
CLINIC 5280,CLINIC 5280,403-01606,1752 Shasta Drive,Colorado Springs,80910,Medical,38.806695,-104.777417
DISCREET TREATS LLC,,403-01280,"288 South Academy Boulevard, Suite C",Colorado Springs,80910,Medical,38.826853,-104.757564
EMERALD CITY WELLNESS LLC,EMERALD CITY WELLNESS,403-01167,2565 Weston Road Units 128 Collective,Colorado Springs,80910,Medical,38.79505,-104.778624
FOUR SCORE LLC,DISCREET TREATS,403-01210,"288 South Academy Boulevard, Unit C",Colorado Springs,80910,Medical,38.826853,-104.757564
FRANKS FARM LLC,FRANK'S FARM,403-01612,715 South Circle Drive,Colorado Springs,80910,Medical,38.821806,-104.78053
GARDEN MC LLC,GARDEN MC,403-01652,17-19 Iowa Avenue,Colorado Springs,80910,Medical,38.853077,-104.789896
JP LABS LLC,,403-01526,"288 South Academy, Suite B",Colorado Springs,80910,Medical,38.81269,-104.773435
JP WELLNESS LLC,,403-01209,"296 South Academy Boulevard, Suite L",Colorado Springs,80910,Medical,38.827649,-104.757552
MODERN MEDICINE LLC,ALTITUDE ORGANIC MEDICINE,403-00640,2517 Durango Drive,Colorado Springs,80910,Medical,38.795955,-104.773164
PRISY & ASSOCIATES LLC,WELLSTONE,403-00125,2685 Durango Drive,Colorado Springs,80910,Medical,38.793482,-104.774327
ROCKY ROAD REMEDIES LLC,,403-00444,2575 Weston Road,Colorado Springs,80910,Medical,38.795085,-104.778444
SLAM ENTERPRISES LLC,NATURALEAF,403-00796,2611 Durango Drive,Colorado Springs,80910,Medical,38.794565,-104.773382
TZ FINANCIAL LLC,HIGH COUNTRY HEALING,403-00335,2516 Weston Road,Colorado Springs,80910,Medical,38.795631,-104.777549
WTJ FAMILY ENTERPRISES LLC,WTJ MMJ SUPPLY,403-00239,2848 Delta Drive,Colorado Springs,80910,Medical,38.794172,-104.77558
AUGUST MOON LLC,AUGUST KITCHEN,403-01646,3228 East Platte Avenue,Colorado Springs,80909,Medical,38.839845,-104.768398
BEST BUDZ LLC,BEST BUDZ,403-00610,2545 & 2547 East Platte Place,Colorado Springs,80909,Medical,38.851829,-104.775797
BIJOU WELLNESS CENTER LLC,,403-00839,"2132 East Bijou Street, Suites 110, 111, 119 & 124",Colorado Springs,80909,Medical,38.835603,-104.789057
COLORADO WHOLESALE DISTRIBUTION LLC,,403-01467,2211 East Boulder Street,Colorado Springs,80909,Medical,38.838431,-104.788435
DR RELEAF INC,DR. RELEAF INC,403-01366,2639 East Willamette Avenue,Colorado Springs,80909,Medical,38.840308,-104.7782
EAST WEST ALTERNATIVE MEDICINE LLC,,403-00754,"1905 North Academy Boulevard, Suite 100",Colorado Springs,80909,Medical,38.860589,-104.75711
ELEVATED EXTRACTIONS LLC,,403-01479,325 Delaware Drive,Colorado Springs,80909,Medical,38.838021,-104.760276
EZ NATURAL ALTERNATIVES LLC,HERBS PLACE,403-01048,"3475 Pine Tree Square, Suite E",Colorado Springs,80909,Medical,38.836817,-104.76802
GAME 7 LLC,PINK HOUSE COLORADO SPRINGS,403-00803,700 Juanita Street,Colorado Springs,80909,Medical,38.841527,-104.774551
GOLDEN BARN LLC,,403-01449,3601 East Platte Avenue,Colorado Springs,80909,Medical,38.8394,-104.761265
H & M ENTERPRISE LLC,MEDICAL CANNABIS & PARTNERS LLC,403-01575,"335 North Circle Drive, Suite 101 & 201",Colorado Springs,80909,Medical,38.836778,-104.775924
H & M ENTERPRISE LLC,MEDICAL CANNABIS & PARTNERS LLC,403-01574,"335 North Circle Drive, Unit 201 & 101",Colorado Springs,80909,Medical,38.836778,-104.775924
HERBAL HEALING LLC,DANK BANK,403-01497,"1785 North Academy Boulevard, #165",Colorado Springs,80909,Medical,38.857917,-104.75649
HIGHER HEALING LLC,HIGHER HEALING,403-01559,"1785 North Academy Blvd., Unit 160",Colorado Springs,80909,Medical,38.857917,-104.75649
KIND THERAPEUTICS INC,,403-00616,4058 Palmer Park Boulevard,Colorado Springs,80909,Medical,38.854359,-104.75238
MYLAR GROUP LLC,,403-00530,2430 Platte Place,Colorado Springs,80909,Medical,38.836822,-104.782485
ORIGINAL CANNABIS GROWERS LLC,,403-00133,"2625 East Street Vrain, Units A, B, C & D",Colorado Springs,80909,Medical,38.993768,-104.717406
PAIN MANAGEMENT SOLUTIONS LLC,,403-01472,2222 East Boulder Street,Colorado Springs,80909,Medical,38.838415,-104.787954
QUALITY CHOICE ALTERNATIVE CARE CENTER,,403-01541,2390 East Boulder Street,Colorado Springs,80909,Medical,38.83827,-104.783206
QUALITY CHOICE ALTERNATIVE CARE CENTER LLC,QUALITY CHOICE,403-00086,2398 East Boulder Street,Colorado Springs,80909,Medical,38.838264,-104.783022
ROCKY MOUNTAIN MEDICAL LLC,,403-01005,616 Arrawanna Street,Colorado Springs,80909,Medical,38.841692,-104.771929
ROCKY MOUNTAIN MIRACLES LLC,,403-00316,2316 East Bijou Street,Colorado Springs,80909,Medical,38.835599,-104.786207
SDJ LLC,WP NATION,403-01649,"2509 Platte Place, Suite A",Colorado Springs,80909,Medical,38.83677,-104.780952
STAINED GLASS INCORPORATED,,403-01624,123 North Union Boulevard,Colorado Springs,80909,Medical,38.835327,-104.794584
THE CANNABLISS COMPANY LLC,THE CANNABLISS COMPANY LLC,403-01475,"1785 North Academy Boulevard, Unit 100",Colorado Springs,80909,Medical,38.857917,-104.75649
THE HEALING CANNA LLC,,403-00867,319 Iowa Avenue,Colorado Springs,80909,Medical,38.837889,-104.790184
THE HEALING CANNA LLC,,403-00866,3692 East Bijou Street,Colorado Springs,80909,Medical,38.835736,-104.760558
THE ORGANIC SEED LLC,CANNASSEUR,403-00584,2304 East Platte Avenue,Colorado Springs,80909,Medical,38.837063,-104.787022
WELLNESS CENTERS OF COLORADO LLC,A-WELLNESS CENTER,403-00756,2599 East Willamette Avenue,Colorado Springs,80909,Medical,38.840923,-104.780785
ACME SMOKE LLC,MEDICAL TENT,403-00575,1202 East Fillmore Street,Colorado Springs,80907,Medical,38.873952,-104.805248
AMERICAN WELLNESS CENTER LLC,,403-01230,3895 North Cascade Avenue,Colorado Springs,80907,Medical,38.888248,-104.82292
AMERIGREEN OF COLORADO SPRINGS ILCT LLC,THE AMERIGREEN COMPANY,403-00523,905 East Fillmore Street,Colorado Springs,80907,Medical,38.874054,-104.808599
BEST BUDZ LLC,,403-01583,3850 North Nevada,Colorado Springs,80907,Medical,38.888306,-104.819108
BIG MEDICINE LLC,BIG MEDICINE CANNABISSARY,403-01464,2909 North El Paso Street,Colorado Springs,80907,Medical,38.872649,-104.813147
BND LLC,A CUT ABOVE,403-00527,2809 North Prospect Street,Colorado Springs,80907,Medical,38.870143,-104.811266
CANNABICARE INC,THE CARE,403-01378,3512 North Tejon Street,Colorado Springs,80907,Medical,38.880345,-104.820928
CANNABIS CONNECTION LLC,CANNABIS CONNECTION,403-01611,3170 North Stone Avenue,Colorado Springs,80907,Medical,38.878106,-104.816016
DANKERT CAPITAL LLC,THE DANKERY,403-01638,3745 Interpark Drive,Colorado Springs,80907,Medical,38.885493,-104.831081
