Licensee Name,DBA,License #,Street Address,City,Zip,Operation,location
WILLS CONSULTING LLC,,403R-00463,"40690 Highway 6, Unit F",Avon,81620,Retail,"40690 Highway 6, Unit F Avon CO 81620"
UNITED PATIENTS OF AMERICA LLC,ASPEN ROARING FORK WELLNESS,403-00050,0178 Medicine Bow Road,Aspen,81611,Medical,0178 Medicine Bow Road Aspen CO 81611
GREEN NATURAL SOLUTIONS INC,,403-00382,3 Seven Oaks Road,Glenwood Springs,81601,Medical,3 Seven Oaks Road Glenwood Springs CO 81601
OSIRIS LLC,,403R-00576,2150 Devereux Road,Glenwood Springs,81601,Retail,2150 Devereux Road Glenwood Springs CO 81601
COLORADO ALTERNATIVE HEALTH CARE LTD,PALISADES HEALTH CARE,403-00142,"125 Peach Avenue, Unit B",Palisade,81526,Medical,"125 Peach Avenue, Unit B Palisade CO 81526"
DELILAH LLC,,403R-00238,753 & 755 Vance Drive,Telluride,81435,Retail,753 & 755 Vance Drive Telluride CO 81435
DELILAH LLC,,403-01433,753 Vance Drive,Telluride,81435,Medical,753 Vance Drive Telluride CO 81435
NEW WORLD ALTERNATIVE HEALTHCARE LLC,,403R-00197,135 South Spruce Street,Telluride,81435,Retail,135 South Spruce Street Telluride CO 81435
TELLURIDE GREEN ROOM LLC,TELLURIDE GREEN ROOM,403R-00175,"711 South Park Road, #E",Telluride,81435,Retail,"711 South Park Road, #E Telluride CO 81435"
TELLURIDE GREEN ROOM LLC,TELLURIDE GREEN ROOM,403-00709,711E South Park Road,Telluride,81435,Medical,711E South Park Road Telluride CO 81435
DANIEL BURNETT VIGUERIA,RECREATIONAL SERVICES COMPANY,403R-00372,336 King Avenue,Somerset,81434,Retail,336 King Avenue Somerset CO 81434
KENDALL MOUNTAIN LLC,SILVERTON GREEN WORKS,403R-00347,"124 East 13th Street, Unit A",Silverton,81433,Retail,"124 East 13th Street, Unit A Silverton CO 81433"
SAN JUAN CULTIVATION LLC,CANNAFARMER,403R-00569,71463 US Highway 550,Silverton,81433,Retail,71463 US Highway 550 Silverton CO 81433
ACME DISPENSARY INC,,403-00762,22327 Highway 550 Lot B,Ridgway,81432,Medical,22327 Highway 550 Lot B Ridgway CO 81432
ACME DISPENSARY INC,,403R-00205,22327 US Hwy 550 LOT B,Ridgeway,81432,Retail,22327 US Hwy 550 LOT B Ridgeway CO 81432
ACME HEALING CENTER OF RIDGWAY LLC,,403-01278,"22327 Highway 550, Lot B",Ridgway,81432,Medical,"22327 Highway 550, Lot B Ridgway CO 81432"
ACME HEALING CENTER OF RIDGWAY LLC,,403R-00204,22327 US Hwy 550 Lot B,Ridgway,81432,Retail,22327 US Hwy 550 Lot B Ridgway CO 81432
DURANGO HEALING CENTER LLC,ACME HEALING CENTER,403-00712,22327 US Highway 550 Lot B,Ridgway,81432,Medical,22327 US Highway 550 Lot B Ridgway CO 81432
SHINING MOUNTAIN LLC,SHINING MOUNTAIN LLC,403R-00510,5636 County Road 23,Ridgway,81432,Retail,5636 County Road 23 Ridgway CO 81432
THCULTIVATION LLC,THCULTIVATION,403R-00494,5492 County Road 23,Ridgway,81432,Retail,5492 County Road 23 Ridgway CO 81432
DALLAS CREEK NURSERIES LLC,,403R-00604,304 Weahgatay Road,Montrose,81403,Retail,304 Weahgatay Road Montrose CO 81403
GREEN MEADOWS DISPENSARY LLC,,403-00727,23360 South Highway 550,Montrose,81403,Medical,23360 South Highway 550 Montrose CO 81403
P&C EXPRESS LLC,ROCKY MOUNTAIN HIGH DISPENSARY,403-00860,4860 North Townsend Avenue,Montrose,81401,Medical,4860 North Townsend Avenue Montrose CO 81401
HESPERUS MOUNTAIN HEALERS LLC,,403R-00484,444 Conestoga Way,Hesperus,81326,Retail,444 Conestoga Way Hesperus CO 81326
DAVID KRZYSZTOFIAK LLC,THE HERBAL ALTERNATIVE,403-00804,1531 N Lebanon Rd,Cortez,81321,Medical,1531 N Lebanon Rd Cortez CO 81321
DAVID KRZYSZTOFIAK LLC,THE HERBAL ALTERNATIVE,403R-00391,1531 North Lebanon Road,Cortez,81321,Retail,1531 North Lebanon Road Cortez CO 81321
DURANGO ORGANICS LLP,DO CORTEZ,403-00722,1104 East Main Street,Cortez,81321,Medical,1104 East Main Street Cortez CO 81321
GREEN KIWI 4 LLC,THE BEACON,403-00861,1740 East Main Street,Cortez,81321,Medical,1740 East Main Street Cortez CO 81321
THE MEDICINE MAN LLC,THE MEDICINE MAN LLC,403R-00444,2301 South Broadway,Cortez,81321,Retail,2301 South Broadway Cortez CO 81321
THE MEDICINE MAN LLC,,403-00604,310 East Main Street,Cortez,81321,Medical,310 East Main Street Cortez CO 81321
DURANGO ORGANICS LLP,DURANGO ORGANICS,403-01668,12929 Highway 550 South,Durango,81303,Medical,12929 Highway 550 South Durango CO 81303
DURANGO ORGANICS LLP,DURANGO ORGANICS,403R-00332,12929 US HWY 550 SOUTH,Durango,81303,Retail,12929 US HWY 550 SOUTH Durango CO 81303
DURANGO ORGANICS LLP,,403-00786,12929 South US Highway 550,Durango,81301,Medical,12929 South US Highway 550 Durango CO 81301
MHSDGO LLC,MHS,403-00792,"789 Tech Center Drive, Unit E",Durango,81301,Medical,"789 Tech Center Drive, Unit E Durango CO 81301"
MJ DURANGO LLC,,403R-00592,28753 East US Highway 160,Durango,81301,Retail,28753 East US Highway 160 Durango CO 81301
THE ACCEPTUS GROUP LLC,COLORADO GROW COMPANY,403R-00378,83 Davidson Creek Rd,Durango,81301,Retail,83 Davidson Creek Rd Durango CO 81301
WILD WEST WEED LLC,WILD WEST WEED,403R-00585,1765 D-K Drive,Durango,81301,Retail,1765 D-K Drive Durango CO 81301
5110 RACE LLC,THE SANCTUARY WELLNESS CENTER,403-01342,890 7th Street,Penrose,81240,Medical,890 7th Street Penrose CO 81240
ALTERNATIVE MEDICAL REMEDIES,,403-00134,1450 L Street,Penrose,81240,Medical,1450 L Street Penrose CO 81240
C^3 COLORADO SPRINGS LLC,PURE INTENTIONS WELLNESS CENTER,403-01286,"685 Highway 115, Unit B",Penrose,81240,Medical,"685 Highway 115, Unit B Penrose CO 81240"
MILE HIGH GREEN CROSS LLC,,403-01285,"685 Highway 115, Unit A",Penrose,81240,Medical,"685 Highway 115, Unit A Penrose CO 81240"
PURE MEDICAL LLC,,403-01338,440 8th Street,Penrose,81240,Medical,440 8th Street Penrose CO 81240
THRESSOR LLC,AMERICAN NECTAR,403-01608,708 Fremont Street,Penrose,81240,Medical,708 Fremont Street Penrose CO 81240
TODAYS HEALTH CARE II LLC,TODAYS HEALTH CARE II LLC,403-01393,934 C Street,Penrose,81240,Medical,934 C Street Penrose CO 81240
TODAYS HEALTH CARE LLC,TODAYS HEALTH CARE LLC,403-01351,1015 Highway 115,Penrose,81240,Medical,1015 Highway 115 Penrose CO 81240
CANNATONIC LLC,,403R-00442,400 Industrial Park Road,Gunnison,81230,Retail,400 Industrial Park Road Gunnison CO 81230
CCCENTER7 LLC,,403R-00369,103 Basin Park Drive,Gunnison,81230,Retail,103 Basin Park Drive Gunnison CO 81230
SOUTHERN CHARM ORGANICS LLC,,403R-00394,435 Industrial Park Road,Gunnison,81230,Retail,435 Industrial Park Road Gunnison CO 81230
HIGH MOUNTAIN MEDZ LLC,,403-01391,3000 County Road 103,Florence,81226,Medical,3000 County Road 103 Florence CO 81226
MAGGIES FARM LLC,,403-01153,4211 County Road 84,Florence,81226,Medical,4211 County Road 84 Florence CO 81226
VIRTUAL MARKETING LLC,MAGGIE'S FARM,403-00655,4211 Fremont County Road 84,Florence,81226,Medical,4211 Fremont County Road 84 Florence CO 81226
CRESTED BUTTE CONCENTRATES LLC,CRESTED BUTTE CONCENTRATES LLC,403R-00339,398 Riverland Dr,Crested Butte,81224,Retail,398 Riverland Dr Crested Butte CO 81224
PURE INDUSTRIES LLC,,403R-00410,"398 Riverland Drive, Suites 1-B, 1-C, 2-C",Crested Butte,81224,Retail,"398 Riverland Drive, Suites 1-B, 1-C, 2-C Crested Butte CO 81224"
THE ORGANIC SEED LLC,,403-01452,1785 Kit Carson Trail,Cotopaxi,81223,Medical,1785 Kit Carson Trail Cotopaxi CO 81223
HAMME-BASTI LLC,NATURAL MYSTIC WELLNESS CENTER,403-01255,204 East Main Street,Buena Vista,81211,Medical,204 East Main Street Buena Vista CO 81211
JMC ENTERPRISES INC,FREMONT COUNTY CANNABIS,403-00230,"19256 County Road 343, Unit D",Buena Vista,81211,Medical,"19256 County Road 343, Unit D Buena Vista CO 81211"
3-D DENVERS DISCREET DISPENSARY LLC,3D CANNABIS CENTER,403-01482,7706 County Road 150,Salida,81201,Medical,7706 County Road 150 Salida CO 81201
BERLIN INTERNATIONAL LLC,CANNIKA,403-01466,7800 County Road 152,Salida,81201,Medical,7800 County Road 152 Salida CO 81201
BERLIN INTERNATIONAL LLC,,403R-00301,"7800 Hannah Lane, County Road 152",Salida,81201,Retail,"7800 Hannah Lane, County Road 152 Salida CO 81201"
BIOENERGETIC HEALING CENTER LLC,,403R-00163,7851 County Road 150,Salida,81201,Retail,7851 County Road 150 Salida CO 81201
ECOMED LLC,NATURES MEDICINE SALIDA,403R-00320,"7729 CR 150, Suites A-C",Salida,81201,Retail,"7729 CR 150, Suites A-C Salida CO 81201"
GARCIA & MAESTAS INC,LA CASA CANNABIS II,403-01308,23320 County Road K-5,San Luis,81152,Medical,23320 County Road K-5 San Luis CO 81152
GM INC,GREEN WORLD,403R-00330,23320 County Road K5,San Luis,81152,Retail,23320 County Road K5 San Luis CO 81152
HIERBA BUENA LLC,HIERBA BUENA,403R-00401,"20663 Unit B, County Road P6",San Luis,81152,Retail,"20663 Unit B, County Road P6 San Luis CO 81152"
LA CASA CANNABIS INC,,403-00172,23320 County Road K.5,San Luis,81152,Medical,23320 County Road K.5 San Luis CO 81152
"MOUNTAIN HIGH 14,047 LLC",,403R-00546,22057 County Road K.5,San Pablo,81152,Retail,22057 County Road K.5 San Pablo CO 81152
VISTABUDS LLC,,403R-00564,10788 County Road 21,San Pablo,81152,Retail,10788 County Road 21 San Pablo CO 81152
ELEV8ED EXCELLENCE INC,,403R-00590,14890 CR .2,San Acacio,81151,Retail,14890 CR .2 San Acacio CO 81151
KIND BARON LLC,KIND BARON LLC,403R-00574,14231 County Road 55,Saguache,81149,Retail,14231 County Road 55 Saguache CO 81149
DELANY & ASSOCIATES LLC,GOOD EARTH MEDS,403R-00328,"600 Cloman Boulevard, #5, 6,7, 8",Pagosa Springs,81147,Retail,"600 Cloman Boulevard, #5, 6,7, 8 Pagosa Springs CO 81147"
DELANY & ASSOCIATES LLC,GOOD EARTH MEDS,403-00726,"600 Cloman Boulevard, Units 5, 6,7, 8",Pagosa Springs,81147,Medical,"600 Cloman Boulevard, Units 5, 6,7, 8 Pagosa Springs CO 81147"
J and J ENTERPRISES INC,PAGOSA ORGANIC THERAPEUTICS,403-01356,"298 Bastille Drive, Units A7 & 9",Pagosa Springs,81147,Medical,"298 Bastille Drive, Units A7 & 9 Pagosa Springs CO 81147"
J and J ENTERPRISES INC,PAGOSA ORGANIC THERAPEUTICS,403R-00346,354 Bastille Drive,Pagosa Springs,81147,Retail,354 Bastille Drive Pagosa Springs CO 81147
SACRED VALLEY MEDICINE LLC,,403R-00440,61185 County Road T,Moffat,81143,Retail,61185 County Road T Moffat CO 81143
SOUTHERN COLORADO THERAPEUTICS INC,HIGHLAND HEALTH,403R-00420,63003 County Road CC,Moffat,81143,Retail,63003 County Road CC Moffat CO 81143
FROST HARVEST CO INC,,403-00705,"County Road 17, Highway 160",Fort Garland,81133,Medical,"County Road 17, Highway 160 Fort Garland CO 81133"
1-11 LLC,1:11,403R-00537,54414 County Road F,Center,81125,Retail,54414 County Road F Center CO 81125
BUD HUT INC,BUD HUT INC,403R-00553,"973 U.S. Highway 85 87, Suite 100",Walsenburg,81089,Retail,"973 U.S. Highway 85 87, Suite 100 Walsenburg CO 81089"
WAHATOYA FARMS LLC,WAHATOYA FARMS LLC,403R-00536,25462 West US Highway 160,Walsenburg,81089,Retail,25462 West US Highway 160 Walsenburg CO 81089
CANNA COMPANY,CANNACO,403R-00419,3019 Toupal Drive,Trinidad,81082,Retail,3019 Toupal Drive Trinidad CO 81082
FARAGOSI FARMS INC,FARAGOSI FARMS,403R-00486,612 Hainlen Street,Trinidad,81082,Retail,612 Hainlen Street Trinidad CO 81082
THE GROW FOUNDRY INC,CODA SIGNATURE,403R-00514,1105 Constitution Drive,Trinidad,81082,Retail,1105 Constitution Drive Trinidad CO 81082
ALTERNATIVE HOLISTIC HEALING LLC,ROCKY MOUNTAIN ORGANICS LLC,403R-00374,6480 Pickney Rd,Rye,81069,Retail,6480 Pickney Rd Rye CO 81069
CGE LLC,CANN GROW,403R-00545,"6040 Big Sky, Building A",Rye,81069,Retail,"6040 Big Sky, Building A Rye CO 81069"
POPS FARM INC,POP'S FARM INC,403R-00584,3943 County Road 650,Rye,81069,Retail,3943 County Road 650 Rye CO 81069
SCG SERVICES LLC,SOUTHERN COLORADO GROWERS,403R-00573,853 Greenhorn Mountain Circle,Rye,81069,Retail,853 Greenhorn Mountain Circle Rye CO 81069
VIRIDIS POLLEX LLC,,403R-00601,900 Conductor Court,Rye,81069,Retail,900 Conductor Court Rye CO 81069
A2ZINC LLC,ZGREENS CO,403R-00503,2177 57th Lane,Boone,81025,Retail,2177 57th Lane Boone CO 81025
BOONE FARMS LLC,,403R-00467,60710 Highway 96E,Boone,81025,Retail,60710 Highway 96E Boone CO 81025
CURE PUEBLO LLC,,403R-00436,63490 East Highway 96,Boone,81025,Retail,63490 East Highway 96 Boone CO 81025
LANTZ INDUSTRIES LLC,,403R-00473,"50100 Route 96, Suite A",Boone,81025,Retail,"50100 Route 96, Suite A Boone CO 81025"
MEDICAL CANNABIS COLORADO LLC,CURE COLORADO,403-01587,63510 East Highway 96,Boone,81025,Medical,63510 East Highway 96 Boone CO 81025
PUEBLO FARMS LLC,PUEBLO FARMS,403R-00425,63496 East Highway 96,Boone,81025,Retail,63496 East Highway 96 Boone CO 81025
PUEBLO FARMS LLC,,403R-00461,68200 East Highway 96,Boone,81025,Retail,68200 East Highway 96 Boone CO 81025
STEALTHFARMS LLC,,403R-00572,58764 East Highway 50,Boone,81025,Retail,58764 East Highway 50 Boone CO 81025
BEULAH VALLEY FARMS LLC,,403R-00476,7791 Highway 78 West,Beulah,81023,Retail,7791 Highway 78 West Beulah CO 81023
"WHITE MEADOWS CULTIVATION, LLC",,403R-00563,7013 Burnt Mill Road,Beulah,81023,Retail,7013 Burnt Mill Road Beulah CO 81023
SUNCANNA LLC,,403R-00549,39327 Harbour Road,Avondale,81022,Retail,39327 Harbour Road Avondale CO 81022
COMPLIANCE INITIATIVES LLC,STRAWBERRY FIELDS ALTERNATIVE HEALTH AND WELLNESS,403-01507,9000 South Interstate 25,Colorado City,81019,Medical,9000 South Interstate 25 Colorado City CO 81019
ALTERNATIVE HOLISTIC HEALING LLC,ROCKY MTN ORGANICS,403R-00421,7445 Rex Road,Pueblo,81007,Retail,7445 Rex Road Pueblo CO 81007
AMERIJUANA INC,,403R-00517,72 North Lazer Drive,Pueblo West,81007,Retail,72 North Lazer Drive Pueblo West CO 81007
CCOMAG,H.O.G. PHARM,403R-00402,24C North Research Drive,Pueblo,81007,Retail,24C North Research Drive Pueblo CO 81007
COLORADO CANNABIS ASSOCIATES LLC,NATURES REMEDY WELLNESS,403-00476,748 East Industrial Blvd.,Pueblo West,81007,Medical,748 East Industrial Blvd. Pueblo West CO 81007
COLORADO CANNABIS ASSOCIATES LLC,NATURES REMEDY WELLNESS,403R-00206,748 East Industrial Boulevard,Pueblo West,81007,Retail,748 East Industrial Boulevard Pueblo West CO 81007
COMPASSIONATE CARE COOP.,COMPASSIONATE CARE COOP LLC,403-01492,38 N. Silicon Drive,Pueblo West,81007,Medical,38 N. Silicon Drive Pueblo West CO 81007
FIPG LLC,,403-01632,"67 North Silicon Drive, Suites 130,140, 150",Pueblo West,81007,Medical,"67 North Silicon Drive, Suites 130,140, 150 Pueblo West CO 81007"
GG-MMD INC,GG-MMD INC,403-01454,920 East Spaulding Avenue,Pueblo West,81007,Medical,920 East Spaulding Avenue Pueblo West CO 81007
HERITAGE ORGANICS LLC,,403-01640,78 North Precision Drive,Pueblo West,81007,Medical,78 North Precision Drive Pueblo West CO 81007
MAGGIES FARM LLC,MAGGIE'S FARM,403-01421,"74 North Component Drive, Suite 170",Pueblo West,81007,Medical,"74 North Component Drive, Suite 170 Pueblo West CO 81007"
MODERN MEDICINE LLC,ALTITUDE ORGANICS,403R-00540,69 North Mission Drive,Pueblo,81007,Retail,69 North Mission Drive Pueblo CO 81007
NATURES GIFT SHOP LLC,,403R-00336,148 E Assembly Dr,Pueblo West,81007,Retail,148 E Assembly Dr Pueblo West CO 81007
ORGANIC SOLUTIONS INC,,403-01096,152 East Industrial Boulevard,Pueblo West,81007,Medical,152 East Industrial Boulevard Pueblo West CO 81007
PALO VERDE LLC,,403R-00360,78 N Silicon Drive,Pueblo West,81007,Retail,78 N Silicon Drive Pueblo West CO 81007
PI ORGANICS INC,,403R-00531,"77 North Laser Drive, Suites I-1&2",Pueblo West,81007,Retail,"77 North Laser Drive, Suites I-1&2 Pueblo West CO 81007"
PUEBLO WEST ORGANICS LLC,PUEBLO WEST ORGANICS,403R-00162,56 N Precision Drive,Pueblo West,81007,Retail,56 N Precision Drive Pueblo West CO 81007
PUEBLO WEST ORGANICS LLC,,403-01298,56 North Precision Drive,Pueblo West,81007,Medical,56 North Precision Drive Pueblo West CO 81007
PUEBLO WEST ORGANICS LLC,PUEBLO WEST ORGANICS,403R-00227,"609 East Enterprise Drive, Suite 120, 130",Pueblo West,81007,Retail,"609 East Enterprise Drive, Suite 120, 130 Pueblo West CO 81007"
PUEBLO WEST ORGANICS LLC,,403-01420,"609 East Enterprise Drive, Units 120, 130 & 140",Pueblo,81007,Medical,"609 East Enterprise Drive, Units 120, 130 & 140 Pueblo CO 81007"
QUANTUM 137 LLC,QUANTUM 137 LLC,403R-00560,24 North Fabrication,Pueblo,81007,Retail,24 North Fabrication Pueblo CO 81007
SKY UNLIMITED LLC,SKY UNLIMITED LLC,403R-00518,"59 North Fabrication Drive, Suite A",Pueblo West,81007,Retail,"59 North Fabrication Drive, Suite A Pueblo West CO 81007"
STEEL CITY DEVELOPMENT LLC,PLATINUM ORGANICS LLC,403R-00552,77 North Magento Drive,Pueblo West,81007,Retail,77 North Magento Drive Pueblo West CO 81007
THE ORGANIC SEED LLC,CANNASSEUR,403R-00283,59 North Laser Drive,Pueblo,81007,Retail,59 North Laser Drive Pueblo CO 81007
THREE RIVERS DEVELOPMENT LLC,THREE RIVERS ORGANICS,403-01585,83 North Magento Drive,Pueblo,81007,Medical,83 North Magento Drive Pueblo CO 81007
TNT FARMS LLC,TNT FARMS LLC,403R-00547,96 North Precision Drive,Pueblo West,81007,Retail,96 North Precision Drive Pueblo West CO 81007
TODAYS HEALTH CARE LLC,,403-01442,286 South Purcell Boulevard,Pueblo West,81007,Medical,286 South Purcell Boulevard Pueblo West CO 81007
VIRTUAL MARKETING LLC,MAGGIE'S FARM,403-01562,"74 North Component Drive, #160",Pueblo,81007,Medical,"74 North Component Drive, #160 Pueblo CO 81007"
YETI FARMS LLC,"YETI FARMS, LLC",403-01474,1650 Siloam Road,Pueblo,81007,Medical,1650 Siloam Road Pueblo CO 81007
DAY DREAMZ LLC,DAY DREAMZ,403-01438,"1805 Santa Fe Drive, Suites F & G",Pueblo,81006,Medical,"1805 Santa Fe Drive, Suites F & G Pueblo CO 81006"
HEAVYBAG SUPPLY COMPANY LLC,,403R-00352,521 SANTA FE DRIVE,Pueblo,81006,Retail,521 SANTA FE DRIVE Pueblo CO 81006
HERIKAT INC,ROSE BUD PRODUCTIONS,403-01435,2298 East State Highway 96,Pueblo,81006,Medical,2298 East State Highway 96 Pueblo CO 81006
LOS SUENOS LLC,,403R-00428,231 Nyberg Road,Pueblo,81006,Retail,231 Nyberg Road Pueblo CO 81006
MESA ORGANICS LTD,MESA ORGANICS/PURPLEBEES,403-01670,30899 Highway 50 East,Pueblo,81006,Medical,30899 Highway 50 East Pueblo CO 81006
PUEBLO AGRICULTURE LLC,,403R-00524,386 South 29th Lane,Pueblo,81006,Retail,386 South 29th Lane Pueblo CO 81006
WESTSIDE WELLNESS CENTER LLC,MAGGIE'S FARM,403-01557,"1400 Santa Fe Drive, Suite A & B",Pueblo,81006,Medical,"1400 Santa Fe Drive, Suite A & B Pueblo CO 81006"
A BETTER CHOICE LLC,O. G. HYDRO,403R-00496,1115 Siloam Road,Pueblo,81005,Retail,1115 Siloam Road Pueblo CO 81005
CGRO LLC,APEX ORGANICS,403R-00606,1930 Pope Valley Ranch Road,Pueblo,81005,Retail,1930 Pope Valley Ranch Road Pueblo CO 81005
COLORADO LEAF LLC,COLORADO LEAF LLC,403R-00508,8217 Red Creek Springs Road,Pueblo,81005,Retail,8217 Red Creek Springs Road Pueblo CO 81005
DKC LLC,DENVER KUSH CLUB,403R-00285,5 Rex Road,Pueblo,81005,Retail,5 Rex Road Pueblo CO 81005
DKC LLC,DENVER KUSH CLUB,403-01401,7415 Rex Road,Pueblo,81005,Medical,7415 Rex Road Pueblo CO 81005
HEALING HOUSE LAKEWOOD LLC,HEALING HOUSE,403R-00357,7420 Rex Road,Pueblo,81005,Retail,7420 Rex Road Pueblo CO 81005
HEALING HOUSE LAKEWOOD LLC,HEALING HOUSE,403-01446,"Lakeview Prairie, Lot 4",Pueblo,81005,Medical,"Lakeview Prairie, Lot 4 Pueblo CO 81005"
HIGH ALTITUDE FARMS LLC,,403R-00504,1035 Newton Road,Pueblo,81005,Retail,1035 Newton Road Pueblo CO 81005
KINGPIN FARMS LLC,,403R-00539,6427 Galbreth Road,Pueblo,81005,Retail,6427 Galbreth Road Pueblo CO 81005
MISFITS PHARMS LLC,,403R-00587,2405 Little Burnt Mill Road,Pueblo,81005,Retail,2405 Little Burnt Mill Road Pueblo CO 81005
PREMIUM CUT INC,PREMIUM CUT INC,403R-00417,5810 W State Highway 78,Pueblo,81005,Retail,5810 W State Highway 78 Pueblo CO 81005
STEEL CITY SUPPLY LLC,,403R-00529,7571 Vanessa Drive,Pueblo,81005,Retail,7571 Vanessa Drive Pueblo CO 81005
SUNSTRAIN LLC,,403R-00605,8380 West Highway 96,Pueblo,81005,Retail,8380 West Highway 96 Pueblo CO 81005
4th DIMENSION INC,,403R-00534,3144 Verde Road,Pueblo,81004,Retail,3144 Verde Road Pueblo CO 81004
DENVER BUD COMPANY LLC,DENVER BUD COMPANY,403R-00324,3217 Lake Ave,Pueblo,81004,Retail,3217 Lake Ave Pueblo CO 81004
EARTH SOLUTIONS INC,CANNA CABINET INC,403-01565,"2630 W. Pueblo Blvd., Suite C-D&E",Pueblo,81004,Medical,"2630 W. Pueblo Blvd., Suite C-D&E Pueblo CO 81004"
EXTREME GREEN GENETICS LLC,,403R-00375,3150 Verde Road,Pueblo,81004,Retail,3150 Verde Road Pueblo CO 81004
FREDRICK JENKINS LLC,MT GROWERS,403R-00583,705 Elm Street,Pueblo,81004,Retail,705 Elm Street Pueblo CO 81004
NATIONAL GREEN SOURCE LLC,,403R-00447,1900 South Freeway,Pueblo,81004,Retail,1900 South Freeway Pueblo CO 81004
SEVEN-ONE-NINE LLC,,403-01598,2729 Farabaugh Lane,Pueblo,81004,Medical,2729 Farabaugh Lane Pueblo CO 81004
GARDEN GREENS LLC,,403-01628,4116 Nature Center Road,Pueblo,81003,Medical,4116 Nature Center Road Pueblo CO 81003
GROWHOUSE PUEBLO LLC,,403R-00511,1325 Cheyenne Avenue,Pueblo,81003,Retail,1325 Cheyenne Avenue Pueblo CO 81003
JRM HOLDINGS INC,JRM HOLDINGS INC,403R-00519,4245 West 13th Street,Pueblo,81003,Retail,4245 West 13th Street Pueblo CO 81003
THE HERBAL GARDEN LLC,,403R-00370,302 Lamkin Street,Pueblo,81003,Retail,302 Lamkin Street Pueblo CO 81003
TWISTED ORGANICS LLC,TWISTED ORGANICS LLC,403R-00351,311 South Main Street,Pueblo,81003,Retail,311 South Main Street Pueblo CO 81003
GREEN MOUNTAIN DISTRIBUTION LLC,,403R-00422,302 Meade Avenue,Pueblo,81001,Retail,302 Meade Avenue Pueblo CO 81001
HERIKAT INC,ROSE BUD PRODUCTIONS,403R-00261,2298 East State Hwy 96,Pueblo,81001,Retail,2298 East State Hwy 96 Pueblo CO 81001
MAGGIES FARM LLC,,403R-00290,3900 North 27th Lane,Pueblo,81001,Retail,3900 North 27th Lane Pueblo CO 81001
MARISOL THERAPEUTICS LLC,,403R-00079,2204 Hickory Lane,Pueblo,81001,Retail,2204 Hickory Lane Pueblo CO 81001
MARISOL THERAPEUTICS LLC,,403-00254,2204 Hickory Street,Pueblo,81001,Medical,2204 Hickory Street Pueblo CO 81001
PURE INDUSTRIES LLC,,403R-00409,1601 N. Erie Avenue,Pueblo,81001,Retail,1601 N. Erie Avenue Pueblo CO 81001
ROCKY ROAD REMEDIES LLC,ROCKY ROAD PUEBLO,403R-00300,2656 McCormick Avenue,Pueblo,81001,Retail,2656 McCormick Avenue Pueblo CO 81001
HOBBY FARMS LLC,A CUT ABOVE,403-00687,3410 Astrozon Court,Colorado Springs,80937,Medical,3410 Astrozon Court Colorado Springs CO 80937
BGOOD VENTURES LLC,ELEVATIONS,403-01660,8270 Razorback Road,Colorado Springs,80920,Medical,8270 Razorback Road Colorado Springs CO 80920
AJC INDUSTRIES LLC,FRONT RANGE ALTERNATIVE MEDICINES,403-00585,5905 North Nevada Avenue,Colorado Springs,80918,Medical,5905 North Nevada Avenue Colorado Springs CO 80918
BRIARGATE WELLNESS CENTER LLC,,403-00176,"890 Dublin Boulevard, Suite C",Colorado Springs,80918,Medical,"890 Dublin Boulevard, Suite C Colorado Springs CO 80918"
THIRD DAY APOTHECARY MC LLC,,403-00210,"4865 North Academy Blvd., Unit B",Colorado Springs,80918,Medical,"4865 North Academy Blvd., Unit B Colorado Springs CO 80918"
ROCKY ROAD REMEDIES LLC,ROCKY ROAD NORTH,403-01303,3995 North Academy Boulevard,Colorado Springs,80917,Medical,3995 North Academy Boulevard Colorado Springs CO 80917
TRICHOME HEALTH CONSULTANTS,TRICHOME HEALTH CONSULTANTS,403-00349,"3425 Van Teylingen Drive, Units D&E",Colorado Springs,80917,Medical,"3425 Van Teylingen Drive, Units D&E Colorado Springs CO 80917"
CYS INC,,403-01345,1675 Jetwing Drive,Colorado Springs,80916,Medical,1675 Jetwing Drive Colorado Springs CO 80916
CANNA MEDS WELLNESS CENTER LLC,,403-00407,4349 East Platte Avenue,Colorado Springs,80915,Medical,4349 East Platte Avenue Colorado Springs CO 80915
CANNABICARE INC,THE CARE,403-00157,1466 Woolsey Heights,Colorado Springs,80915,Medical,1466 Woolsey Heights Colorado Springs CO 80915
CC GROUP,CANNA CAREGIVERS,403-00370,2153-2155 Victor Place,Colorado Springs,80915,Medical,2153-2155 Victor Place Colorado Springs CO 80915
CC GROUP,CANNA CREATIONS,403-01329,"2306 North Powers Boulevard, #100",Colorado Springs,80915,Medical,"2306 North Powers Boulevard, #100 Colorado Springs CO 80915"
DR RELEAF INC,,403-01571,815 Wooten Road,Colorado Springs,80915,Medical,815 Wooten Road Colorado Springs CO 80915
HAPPY BUDDHA WELLNESS CENTER LLC,,403-01164,1419 Woolsey Heights,Colorado Springs,80915,Medical,1419 Woolsey Heights Colorado Springs CO 80915
HOBBY FARMS LLC,A CUT ABOVE,403-01596,817 Wooten Road,Colorado Springs,80915,Medical,817 Wooten Road Colorado Springs CO 80915
HOSHTA LLC,NEW HORIZONS,403-01183,1460 Woolsey Heights,Colorado Springs,80915,Medical,1460 Woolsey Heights Colorado Springs CO 80915
